               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10485,            0.042174,            0.051405,             0.72212,            0.049936,            0.028228,              0.0106,            0.084467,            0.027976,             0.04463,             0.07024,           0.0033067,           0.0033067
                   1,            0.075151,            0.039253,            0.042246,             0.23185,             0.13872,            0.049188,            0.020747,            0.066733,            0.024655,            0.041127,            0.040021,           0.0064209,           0.0064209
                   2,            0.065054,            0.033764,            0.040861,             0.59053,             0.13205,            0.066126,            0.024304,            0.066288,            0.022926,            0.040369,           0.0095818,           0.0093151,           0.0093151
                   3,            0.060262,            0.032494,            0.040017,             0.44891,             0.18118,            0.086075,            0.036725,            0.058121,            0.023475,            0.039701,             0.00901,             0.00901,             0.00901
                   4,            0.054942,             0.03218,            0.039998,             0.49159,              0.2084,             0.11535,            0.055976,            0.052746,            0.023582,            0.039209,             0.00901,             0.00901,             0.00901
                   5,            0.051965,            0.033217,            0.039271,             0.49703,             0.19135,             0.11198,            0.063063,            0.048919,            0.023471,            0.038429,             0.00868,             0.00868,             0.00868
                   6,            0.050192,            0.031417,            0.037365,             0.49946,             0.20756,             0.12231,            0.063927,            0.050732,            0.023055,             0.03809,             0.00835,             0.00835,             0.00835
                   7,            0.047999,            0.031682,            0.037036,             0.51615,             0.19615,             0.14141,            0.076932,             0.04875,            0.023285,            0.037336,             0.00802,             0.00802,             0.00802
                   8,            0.046904,            0.031069,            0.035958,             0.55311,             0.19866,              0.1548,             0.08485,            0.046408,            0.023131,            0.036362,             0.00769,             0.00769,             0.00769
                   9,            0.044647,            0.030739,             0.03664,             0.53268,             0.19802,             0.14708,            0.085202,            0.048146,            0.022653,            0.036081,             0.00736,             0.00736,             0.00736
                  10,            0.044503,            0.028927,            0.034062,             0.52082,              0.2054,             0.14435,            0.080499,            0.045981,             0.02482,             0.03589,             0.00703,             0.00703,             0.00703
                  11,            0.042643,            0.029361,            0.032838,             0.52479,             0.20686,             0.15205,            0.084811,            0.047074,            0.022731,            0.035781,              0.0067,              0.0067,              0.0067
                  12,            0.041415,            0.029327,              0.0332,             0.54173,             0.20135,             0.15688,             0.09161,            0.045368,            0.023652,            0.035172,             0.00637,             0.00637,             0.00637
                  13,            0.041548,            0.029574,            0.031023,             0.36298,             0.20733,             0.15328,            0.085369,            0.045506,            0.023103,            0.035978,             0.00604,             0.00604,             0.00604
                  14,            0.040336,            0.029897,            0.030473,             0.56223,              0.2072,             0.18076,             0.10527,            0.043875,            0.022968,            0.035765,             0.00571,             0.00571,             0.00571
                  15,            0.039723,            0.027628,            0.029584,             0.54005,             0.23115,             0.16971,            0.099537,            0.044053,            0.022738,            0.036195,             0.00538,             0.00538,             0.00538
                  16,            0.038882,            0.027224,            0.029328,             0.54149,              0.2325,             0.17049,               0.102,            0.043332,            0.023398,            0.035253,             0.00505,             0.00505,             0.00505
                  17,            0.038535,            0.026872,            0.028089,             0.55881,             0.21991,             0.17077,             0.10544,            0.044271,            0.023169,            0.036274,             0.00472,             0.00472,             0.00472
                  18,            0.037585,            0.027497,            0.028525,             0.54808,              0.2319,              0.1705,             0.10367,            0.042703,            0.022599,            0.036678,             0.00439,             0.00439,             0.00439
                  19,            0.036703,            0.025348,            0.026127,             0.55413,             0.22747,             0.18241,             0.10771,            0.043596,            0.023208,             0.03675,             0.00406,             0.00406,             0.00406
                  20,            0.036164,            0.025859,            0.025396,             0.55675,             0.23822,             0.19158,             0.11656,            0.042961,            0.022986,            0.035167,             0.00373,             0.00373,             0.00373
                  21,            0.036618,            0.025948,            0.024878,             0.55648,             0.23042,             0.19091,             0.11482,            0.042493,            0.023117,            0.035077,              0.0034,              0.0034,              0.0034
                  22,            0.033901,            0.024997,            0.024558,              0.3617,             0.26388,             0.18932,             0.11921,             0.04177,            0.022929,            0.035698,             0.00307,             0.00307,             0.00307
                  23,             0.03486,            0.024849,            0.022914,             0.56103,             0.21586,              0.1807,               0.114,            0.042526,            0.023208,            0.036874,             0.00274,             0.00274,             0.00274
                  24,            0.033884,            0.024573,            0.023183,             0.55053,             0.24305,             0.18773,              0.1211,             0.04134,            0.023139,            0.037455,             0.00241,             0.00241,             0.00241
                  25,            0.033724,            0.023925,            0.022545,             0.41068,             0.26439,             0.20398,             0.13171,            0.041468,            0.022735,            0.037295,             0.00208,             0.00208,             0.00208
                  26,            0.032051,            0.022581,            0.021115,              0.5708,             0.23812,             0.20592,             0.13399,            0.041065,            0.023026,            0.036979,             0.00175,             0.00175,             0.00175
                  27,            0.032829,            0.022405,            0.021539,               0.634,              0.2036,             0.19749,              0.1263,            0.041408,            0.023037,            0.037445,             0.00142,             0.00142,             0.00142
                  28,            0.032105,            0.023552,            0.020597,             0.46329,              0.2598,             0.20565,             0.13366,            0.041043,            0.022988,            0.037235,             0.00109,             0.00109,             0.00109
                  29,            0.031857,            0.024485,            0.021085,             0.56349,             0.24032,             0.20642,             0.13632,            0.040258,            0.022845,            0.037057,             0.00076,             0.00076,             0.00076
